"village","address_type","division_id","district_id","police_station_id","student_id","employ_id","created_by","created_at","updated_by","updated_at"
মধ্যপাড়া,PERMANENT_ADDRESS,1,1,10,,1,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
উত্তরা সেক্টর-৭,PRESENT_ADDRESS,1,1,24,,1,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

দক্ষিণখান,PERMANENT_ADDRESS,1,1,24,,2,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
বনানী,PRESENT_ADDRESS,1,1,18,,2,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

উত্তর বাড্ডা,PERMANENT_ADDRESS,1,1,35,,3,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
মহাখালী,PRESENT_ADDRESS,1,1,19,,3,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

মিরপুর-১০,PERMANENT_ADDRESS,1,1,16,,4,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
ধানমন্ডি,PRESENT_ADDRESS,1,1,14,,4,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

চান্দগাঁও,PERMANENT_ADDRESS,4,28,274,,5,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
পতেঙ্গা,PRESENT_ADDRESS,4,28,272,,5,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

হালিশহর,PERMANENT_ADDRESS,4,28,270,,6,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
বন্দর,PRESENT_ADDRESS,4,28,268,,6,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

সোনারগাঁও,PERMANENT_ADDRESS,1,4,73,,7,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
রূপগঞ্জ,PRESENT_ADDRESS,1,4,72,,7,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

ফতুল্লা,PERMANENT_ADDRESS,1,4,71,,8,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
সিদ্ধিরগঞ্জ,PRESENT_ADDRESS,1,4,74,,8,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

গাজীপুর সদর,PERMANENT_ADDRESS,1,2,61,,9,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
কালিয়াকৈর,PRESENT_ADDRESS,1,2,59,,9,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

শ্রীপুর,PERMANENT_ADDRESS,1,2,60,,10,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
কাপাসিয়া,PRESENT_ADDRESS,1,2,58,,10,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

ফরিদপুর সদর,PERMANENT_ADDRESS,1,7,90,,11,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
ভাঙ্গা,PRESENT_ADDRESS,1,7,92,,11,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

বোয়ালমারী,PERMANENT_ADDRESS,1,7,89,,12,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
মধুখালী,PRESENT_ADDRESS,1,7,91,,12,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

রাজবাড়ী সদর,PERMANENT_ADDRESS,1,8,100,,13,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
পাংশা,PRESENT_ADDRESS,1,8,98,,13,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

গোয়ালন্দ,PERMANENT_ADDRESS,1,8,97,,14,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
বালিয়াকান্দি,PRESENT_ADDRESS,1,8,99,,14,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

ময়মনসিংহ সদর,PERMANENT_ADDRESS,2,14,152,,15,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
ত্রিশাল,PRESENT_ADDRESS,2,14,146,,15,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

ফুলবাড়িয়া,PERMANENT_ADDRESS,2,14,147,,16,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
গৌরীপুর,PRESENT_ADDRESS,2,14,150,,16,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

সিলেট সদর,PERMANENT_ADDRESS,3,18,189,,17,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
বালাগঞ্জ,PRESENT_ADDRESS,3,18,186,,17,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

জকিগঞ্জ,PERMANENT_ADDRESS,3,18,187,,18,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
কানাইঘাট,PRESENT_ADDRESS,3,18,188,,18,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

কুমিল্লা সদর,PERMANENT_ADDRESS,4,22,218,,19,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
চান্দিনা,PRESENT_ADDRESS,4,22,219,,19,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631

লাকসাম,PERMANENT_ADDRESS,4,22,221,,20,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
দাউদকান্দি,PRESENT_ADDRESS,4,22,220,,20,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
