registration,name,father_name,mother_name,gender,dob,identity_type,identity_number,photo_dir,nid_dir,created_at,updated_at
202583421,Arif Hasan,Abdul Karim,Rokeya Begum,Male,2010-02-15,NID,1234567890,/photos/arif.jpg,/nid/arif_nid.jpg,2025-01-01 09:00:00,2025-01-01 09:00:00
202594812,Sadia Akter,Abdul Malek,Salma Begum,Female,2010-03-20,BIRTH_CERTIFICATE,BC-2010-002,/photos/sadia.jpg,/nid/sadia_nid.jpg,2025-01-01 09:01:00,2025-01-01 09:01:00
202576934,Imran Hossain,Shafiqul Islam,Amena Khatun,Male,2009-11-05,NID,1234567891,/photos/imran.jpg,/nid/imran_nid.jpg,2025-01-01 09:02:00,2025-01-01 09:02:00
202587215,Nusrat Jahan,Abul Bashar,Rehana Begum,Female,2010-07-18,BIRTH_CERTIFICATE,BC-2010-004,/photos/nusrat.jpg,/nid/nusrat_nid.jpg,2025-01-01 09:03:00,2025-01-01 09:03:00
202591746,Tanvir Ahmed,Abdur Rahman,Shirin Akter,Male,2009-09-09,PASSPORT,P-556677,/photos/tanvir.jpg,/nid/tanvir_passport.jpg,2025-01-01 09:04:00,2025-01-01 09:04:00
202569382,Mim Akter,Mizanur Rahman,Rina Begum,Female,2010-01-25,BIRTH_CERTIFICATE,BC-2010-006,/photos/mim.jpg,/nid/mim_nid.jpg,2025-01-01 09:05:00,2025-01-01 09:05:00
202582194,Rakib Islam,Sirajul Islam,Nazma Begum,Male,2009-12-30,NID,1234567893,/photos/rakib.jpg,/nid/rakib_nid.jpg,2025-01-01 09:06:00,2025-01-01 09:06:00
202573861,Sumaiya Khan,Mostafizur Rahman,Laila Begum,Female,2010-05-14,BIRTH_CERTIFICATE,BC-2010-008,/photos/sumaiya.jpg,/nid/sumaiya_nid.jpg,2025-01-01 09:07:00,2025-01-01 09:07:00
202596403,Sakib Mahmud,Anwar Hossain,Parvin Akter,Male,2009-08-22,NID,1234567894,/photos/sakib.jpg,/nid/sakib_nid.jpg,2025-01-01 09:08:00,2025-01-01 09:08:00
202568730,Anika Rahman,Kamal Uddin,Nasrin Begum,Female,2010-10-10,BIRTH_CERTIFICATE,BC-2010-010,/photos/anika.jpg,/nid/anika_nid.jpg,2025-01-01 09:09:00,2025-01-01 09:09:00
202585912,Mehedi Hasan,Ali Ahmed,Fatema Begum,Male,2009-04-04,PASSPORT,P-889900,/photos/mehedi.jpg,/nid/mehedi_passport.jpg,2025-01-01 09:10:00,2025-01-01 09:10:00
202574680,Tasnim Jahan,Selim Reza,Momtaz Begum,Female,2010-06-06,BIRTH_CERTIFICATE,BC-2010-012,/photos/tasnim.jpg,/nid/tasnim_nid.jpg,2025-01-01 09:11:00,2025-01-01 09:11:00
202592374,Rifat Hossain,Nazrul Islam,Hasina Begum,Male,2009-03-12,NID,1234567896,/photos/rifat.jpg,/nid/rifat_nid.jpg,2025-01-01 09:12:00,2025-01-01 09:12:00
202567821,Jannatul Ferdous,Habibur Rahman,Sufia Begum,Female,2010-09-19,BIRTH_CERTIFICATE,BC-2010-014,/photos/jannatul.jpg,/nid/jannatul_nid.jpg,2025-01-01 09:13:00,2025-01-01 09:13:00
202589463,Hasibul Islam,Jalal Uddin,Rashida Begum,Male,2009-07-07,NID,1234567897,/photos/hasib.jpg,/nid/hasib_nid.jpg,2025-01-01 09:14:00,2025-01-01 09:14:00
202571906,Purnima Akter,Aminul Islam,Rekha Begum,Female,2010-12-01,BIRTH_CERTIFICATE,BC-2010-016,/photos/purnima.jpg,/nid/purnima_nid.jpg,2025-01-01 09:15:00,2025-01-01 09:15:00
202593085,Shuvo Das,Binod Das,Malati Das,Male,2009-05-28,NID,1234567898,/photos/shuvo.jpg,/nid/shuvo_nid.jpg,2025-01-01 09:16:00,2025-01-01 09:16:00
202578241,Suchona Roy,Subhash Roy,Mala Roy,Female,2010-11-11,BIRTH_CERTIFICATE,BC-2010-018,/photos/suchona.jpg,/nid/suchona_nid.jpg,2025-01-01 09:17:00,2025-01-01 09:17:00
202595672,Farhan Rahman,Masud Rahman,Sharmin Akter,Male,2009-01-16,PASSPORT,P-112233,/photos/farhan.jpg,/nid/farhan_passport.jpg,2025-01-01 09:18:00,2025-01-01 09:18:00
202566914,Nabila Islam,Akram Hossain,Nargis Begum,Female,2010-04-23,BIRTH_CERTIFICATE,BC-2010-020,/photos/nabila.jpg,/nid/nabila_nid.jpg,2025-01-01 09:19:00,2025-01-01 09:19:00
